name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,category,enrollment,total_price,year,campus,net_cost,income_lvl,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
Abilene Christian University,Texas,TX,Private,4 Year,10350,34850,45200,34850,45200,4427,Women,2562,30500,2008,On Campus,18544,"0 to 30,000",25,61500,110800,49,7
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238,3154,Women,1728,15020,2008,On Campus,7507,"0 to 30,000",13,54200,97600,41,2
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490,873,Women,867,40910,2008,On Campus,11339,"0 to 30,000",12,58300,99400,53,20
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818,5519,Women,3430,13404,2008,On Campus,7988,"0 to 30,000",24,48200,81700,60,17
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130,579,Women,384,35994,2008,On Campus,22508,"0 to 30,000",3,59700,102000,NA,1
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920,35105,46025,35105,46025,1563,Women,932,33554,2008,On Campus,21436,"0 to 30,000",15,80900,145800,72,2
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260,1550,Women,1031,38036,2008,On Campus,26315,"0 to 30,000",18,63200,94900,52,2
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155,1268,Women,631,38770,2008,On Campus,12784,"0 to 30,000",6,61600,125500,45,23
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752,3639,Women,2395,15648,2008,On Campus,9748,"0 to 30,000",11,55300,76900,66,26
Allegheny College,Pennsylvania,PA,Private,4 Year,12140,47540,59680,47540,59680,2023,Women,1106,42500,2008,On Campus,30014,"0 to 30,000",22,60100,119000,45,31
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252,575,Women,524,26061,2008,On Campus,20390,"0 to 30,000",14,63700,99300,NA,0
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256,1396,Women,764,35230,2008,On Campus,14774,"0 to 30,000",9,59300,114700,53,20
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166,1792,Women,865,50230,2008,On Campus,3317,"0 to 30,000",12,76700,139700,43,42
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900,625,Women,372,16420,2008,Off Campus,16563,"0 to 30,000",22,49600,85500,NA,0
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366,3418,Women,1583,27670,2008,On Campus,13041,"0 to 30,000",21,58800,98500,52,10
Appalachian State University,North Carolina,NC,Public,4 Year,8304,7214,15518,22021,30325,18026,Women,9974,13693,2008,On Campus,5596,"0 to 30,000",12,58400,99800,48,8
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470,737,Women,331,25112,2008,On Campus,13586,"0 to 30,000",5,54800,87500,64,9
Arkansas State University,Arkansas,AR,Public,4 Year,8160,8608,16768,15298,23458,NA,NA,NA,NA,NA,NA,NA,NA,9,54500,93200,57,5
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718,12002,Women,6689,13170,2008,On Campus,7694,"0 to 30,000",15,55400,89000,58,8
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358,1879,Women,1142,29888,2008,On Campus,16131,"0 to 30,000",20,48900,83700,61,6
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870,3128,Women,2046,NA,NA,NA,NA,NA,15,57100,89700,52,6
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856,25912,Women,12798,17966,2008,On Campus,8686,"0 to 30,000",2,67500,123300,50,32
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028,5057,Women,3233,14265,2008,On Campus,7952,"0 to 30,000",11,56400,94800,58,19
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080,NA,NA,NA,35934,2008,On Campus,15349,"0 to 30,000",13,62800,108500,55,8
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436,7988,Women,4979,12446,2013,On Campus,5605,"0 to 30,000",16,55500,96800,71,12
Augustana College,Illinois,IL,Private,4 Year,10572,42135,52707,42135,52707,NA,NA,NA,39900,2008,On Campus,18431,"0 to 30,000",11,59200,121000,47,25
Augustana University,South Dakota,SD,Private,4 Year,8248,33018,41266,33018,41266,NA,NA,NA,30770,2008,On Campus,11694,"0 to 30,000",2,57600,109800,52,17
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167,10111,Women,6110,14946,2008,On Campus,8408,"0 to 30,000",18,54500,91300,60,8
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100,1907,Women,1245,29650,2008,On Campus,10514,"0 to 30,000",20,54700,93300,66,9
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416,3049,Women,1305,50866,2008,On Campus,14317,"0 to 30,000",2,88000,175200,47,3
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240,2957,Women,1729,32045,2008,On Campus,20380,"0 to 30,000",10,58900,98900,60,3
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702,20655,Women,12538,18700,2008,On Campus,7904,"0 to 30,000",22,55900,96600,49,6
Barnard College,New York,NY,Private,4 Year,17225,55032,72257,55032,72257,2573,Women,2568,51976,2008,On Campus,6213,"0 to 30,000",13,74200,149300,53,21
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756,1202,Women,989,NA,NA,NA,NA,NA,24,58700,89100,64,0
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018,1773,Women,894,51400,2008,On Campus,5888,"0 to 30,000",2,71100,150500,51,27
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322,16263,Women,9152,39276,2008,On Campus,19464,"0 to 30,000",9,67400,123300,50,14
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800,4114,Women,2815,28890,2008,On Campus,18924,"0 to 30,000",6,50600,83600,61,2
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450,3609,Women,2430,42496,2008,On Campus,16784,"0 to 30,000",4,58600,103000,60,8
Bellevue College,Washington,WA,Public,2 Year,NA,4258,4258,9689,9689,13469,Women,7359,20584,2018,On Campus,6505.167111,"0 to 30,000",23,65200,94100,53,11
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120,9879,Women,5254,17385,2015,On Campus,10704,"0 to 30,000",7,60600,100000,56,19
Bellin College,Wisconsin,WI,Private,4 Year,NA,22178,22178,22178,22178,351,Women,325,32205,2013,Off Campus,25605,"Over 110,000",8,70900,107200,NA,0
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430,7244,Women,4478,36210,2008,On Campus,24674,"0 to 30,000",13,58400,96000,46,4
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870,1303,Women,757,39736,2008,On Campus,11637,"0 to 30,000",13,58500,105000,54,26
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830,2138,Women,1124,32400,2008,On Campus,19597,"0 to 30,000",3,59400,109600,61,17
Benedictine University,Illinois,IL,Private,4 Year,9480,34290,43770,34290,43770,6307,Women,4005,32733,2008,On Campus,22533,"0 to 30,000",25,62000,105200,56,12
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970,755,Women,508,51950,2008,On Campus,18321,"0 to 30,000",6,57500,109700,46,4
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200,5565,Women,2385,47958,2008,On Campus,10006,"0 to 30,000",7,83200,144800,39,8
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754,1621,Women,909,9186,2008,On Campus,-21743,"0 to 30,000",22,51500,81600,55,24
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326,2177,Women,1335,33198,2008,On Campus,13303,"0 to 30,000",11,54600,100500,36,20
Birmingham-Southern College,Alabama,AL,Private,4 Year,12350,17650,30000,17650,30000,1185,Women,550,NA,NA,NA,NA,NA,5,64200,111600,40,22
Black Hills State University,South Dakota,SD,Public,4 Year,6978,8733,15711,11778,18756,4489,Women,2916,14249,2008,On Campus,8641,"0 to 30,000",10,50500,78800,66,10
Bloomfield College,New Jersey,NJ,Private,4 Year,11950,29550,41500,29550,41500,2004,Women,1278,32414,2008,On Campus,9263,"0 to 30,000",24,57900,99500,59,15
Bluefield State College,West Virginia,WV,Public,4 Year,NA,8820,8820,16920,16920,1563,Women,968,15372,2008,Off Campus,10584,"0 to 30,000",13,59600,87900,58,1
Bob Jones University,South Carolina,SC,Private,4 Year,6976,18150,25126,18150,25126,3108,Women,1702,21843,2008,On Campus,15964,"0 to 30,000",8,58700,102200,62,6
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468,22227,Women,12120,15656,2008,On Campus,9560,"0 to 30,000",6,62300,99800,53,12
Boston Architectural College,Massachusetts,MA,Private,4 Year,13280,21894,35174,21894,35174,876,Women,411,39988,2018,On Campus,26246.46032,"0 to 30,000",25,61200,119100,63,0
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942,14317,Women,7808,52060,2008,On Campus,13061,"0 to 30,000",11,79100,142200,44,17
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668,32112,Women,18765,51100,2008,On Campus,19694,"0 to 30,000",8,76300,144400,44,27
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620,1805,Women,903,50570,2008,On Campus,5562,"0 to 30,000",1,75800,152900,48,33
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777,5695,Women,3583,17818,2008,On Campus,8126,"0 to 30,000",23,59200,96500,65,13
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380,5300,Women,2673,33364,2008,On Campus,11960,"0 to 30,000",7,67500,123500,47,21
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835,5945,Women,3228,50148,2008,On Campus,11154,"0 to 30,000",6,72700,153600,43,33
Brenau University,Georgia,GA,Private,4 Year,12418,29050,41468,29050,41468,2789,Women,2418,31537,2008,On Campus,9660,"0 to 30,000",25,56400,90500,61,1
Brescia University,Kentucky,KY,Private,4 Year,9200,22400,31600,22400,31600,1056,Women,771,25440,2008,On Campus,10106,"0 to 30,000",15,49600,90800,NA,5
Bridgewater College,Virginia,VA,Private,4 Year,12720,35160,47880,35160,47880,1785,Women,962,35800,2008,On Campus,13280,"0 to 30,000",18,51900,103900,46,13
Brigham Young University,Utah,UT,Private,4 Year,7628,5620,13248,5620,13248,30484,Women,13680,NA,NA,NA,NA,NA,1,71700,133900,59,30
Brigham Young University-Hawaii,Hawaii,HI,Private,4 Year,6586,5560,12146,5560,12146,NA,NA,NA,14958,2008,On Campus,9450,"0 to 30,000",1,61700,112200,60,16
Brigham Young University-Idaho,Idaho,ID,Private,4 Year,4592,4118,8710,4118,8710,NA,NA,NA,12441,2008,On Campus,6855,"0 to 30,000",2,65200,115900,64,14
Brown University,Rhode Island,RI,Private,4 Year,14670,55656,70326,55656,70326,9181,Women,4682,50560,2008,On Campus,5732,"0 to 30,000",1,85200,155000,43,42
Bryant University,Rhode Island,RI,Private,4 Year,15702,43973,59675,43973,59675,3462,Women,1436,44646,2008,On Campus,20827,"0 to 30,000",3,73800,128000,39,5
Bryn Mawr College,Pennsylvania,PA,Private,4 Year,16500,52360,68860,52360,68860,1709,Women,1629,50060,2008,On Campus,9156,"0 to 30,000",23,69700,118000,41,25
Bucknell University,Pennsylvania,PA,Private,4 Year,13662,56092,69754,56092,69754,3624,Women,1883,50250,2008,On Campus,15656,"0 to 30,000",5,82400,155500,43,35
Buena Vista University,Iowa,IA,Private,4 Year,9538,34004,43542,34004,43542,2295,Women,1528,34310,2008,On Campus,14643,"0 to 30,000",25,51100,85500,60,3
Butler University,Indiana,IN,Private,4 Year,13830,41120,54950,41120,54950,4848,Women,2877,40526,2008,On Campus,13163,"0 to 30,000",6,62300,121100,53,9
California Institute of Technology,California,CA,Private,4 Year,15525,52362,67887,52362,67887,2209,Women,679,48990,2008,On Campus,3407,"0 to 30,000",4,105000,168600,50,98
Cameron University,Oklahoma,OK,Public,4 Year,5452,6450,11902,15870,21322,5537,Women,3352,15137,2008,On Campus,5627,"0 to 30,000",8,52500,100800,51,14
Campbell University,North Carolina,NC,Private,4 Year,11430,32500,43930,32500,43930,6101,Women,3225,33064,2008,On Campus,15001,"0 to 30,000",17,57700,97100,53,10
Campbellsville University,Kentucky,KY,Private,4 Year,8000,25400,33400,25400,33400,3427,Women,1986,27410,2008,On Campus,9899,"0 to 30,000",24,47400,73000,41,49
Capitol Technology University,Maryland,MD,Private,4 Year,5708,25428,31136,25428,31136,NA,NA,NA,29628,2008,On Campus,22001,"0 to 30,000",5,87700,134600,62,88
Carleton College,Minnesota,MN,Private,4 Year,14085,54759,68844,54759,68844,2057,Women,1086,50000,2008,On Campus,7963,"0 to 30,000",1,72100,141500,50,45
Carnegie Mellon University,Pennsylvania,PA,Private,4 Year,14418,55465,69883,55465,69883,12587,Women,4782,51960,2008,On Campus,20037,"0 to 30,000",3,96700,162100,41,68
Carroll College,Montana,MT,Private,4 Year,9880,35486,45366,35486,45366,1440,Women,839,32344,2008,On Campus,14410,"0 to 30,000",3,58800,108900,54,27
Carroll University,Wisconsin,WI,Private,4 Year,9484,31918,41402,31918,41402,3446,Women,2257,31954,2008,On Campus,13791,"0 to 30,000",15,56700,103700,51,11
Carson-Newman University,Tennessee,TN,Private,4 Year,8810,27900,36710,27900,36710,2362,Women,1406,26750,2008,On Campus,9571,"0 to 30,000",25,52000,84500,59,5
Carthage College,Wisconsin,WI,Private,4 Year,11990,43550,55540,43550,55540,2948,Women,1591,37700,2008,On Campus,20496,"0 to 30,000",14,59500,104200,44,17
Case Western Reserve University,Ohio,OH,Private,4 Year,15190,49042,64232,49042,64232,10771,Women,5380,48052,2008,On Campus,15153,"0 to 30,000",1,81600,142300,48,37
Castleton University,Vermont,VT,Public,4 Year,10598,12314,22912,28322,38920,NA,NA,NA,18145,2008,On Campus,10079,"0 to 30,000",9,51200,85100,51,8
Cedarville University,Ohio,OH,Private,4 Year,7360,30270,37630,30270,37630,3585,Women,1903,28102,2008,On Campus,15407,"0 to 30,000",23,64500,102300,51,16
Centenary College of Louisiana,Louisiana,LA,Private,4 Year,13400,36580,49980,36580,49980,619,Women,350,33600,2008,On Campus,9696,"0 to 30,000",4,58400,111300,38,36
Centenary University,New Jersey,NJ,Private,4 Year,11444,32998,44442,32998,44442,2318,Women,1524,36380,2008,On Campus,26674,"30,001 to 48,000",25,57300,97800,39,4
Central Baptist College,Arkansas,AR,Private,4 Year,7500,16200,23700,16200,23700,858,Women,402,18570,2008,On Campus,10683,"0 to 30,000",19,42900,77400,NA,3
Central Christian College of Kansas,Kansas,KS,Private,4 Year,8286,26674,34960,26674,34960,1165,Women,576,24500,2008,On Campus,12110,"0 to 30,000",25,52000,80100,NA,1
Central College,Iowa,IA,Private,4 Year,10280,37295,47575,37295,47575,1411,Women,736,34600,2008,On Campus,13914,"0 to 30,000",7,63200,107200,45,34
Central Connecticut State University,Connecticut,CT,Public,4 Year,12176,10616,22792,21856,34032,12037,Women,6035,19648,2008,On Campus,11088,"0 to 30,000",12,66600,109800,42,15
Central Michigan University,Michigan,MI,Public,4 Year,10076,12960,23036,12960,23036,26879,Women,15307,19437,2008,On Campus,10107,"0 to 30,000",24,59600,97200,46,12
Central Washington University,Washington,WA,Public,4 Year,11115,8072,19187,23053,34168,11799,Women,6147,17814,2008,On Campus,14300,"0 to 30,000",12,65200,114200,49,13
Centre College,Kentucky,KY,Private,4 Year,10480,41700,52180,41700,52180,1387,Women,718,39200,2008,On Campus,12735,"0 to 30,000",8,59300,98600,51,27
Chadron State College,Nebraska,NE,Public,4 Year,7380,7196,14576,7196,14576,3033,Women,1765,12186,2008,On Campus,4086,"0 to 30,000",11,51400,93400,62,3
Chaminade University of Honolulu,Hawaii,HI,Private,4 Year,13630,25374,39004,25374,39004,2756,Women,1802,29898,2008,On Campus,15493,"0 to 30,000",4,54900,105500,61,3
Champlain College,Vermont,VT,Private,4 Year,15354,41010,56364,41010,56364,3585,Women,1495,32325,2008,On Campus,24844,"0 to 30,000",7,63900,106800,47,26
Charleston Southern University,South Carolina,SC,Private,4 Year,10200,25500,35700,25500,35700,3367,Women,2096,32590,2008,On Campus,21753,"0 to 30,000",17,51800,89400,61,11
Charter Oak State College,Connecticut,CT,Public,4 Year,NA,10161,10161,13101,13101,1929,Women,1300,15913,2017,Off Campus,0,"0 to 30,000",17,60500,98900,70,3
Christian Brothers University,Tennessee,TN,Private,4 Year,7400,32820,40220,32820,40220,1667,Women,936,30270,2008,On Campus,8712,"0 to 30,000",4,62000,115700,60,32
Christopher Newport University,Virginia,VA,Public,4 Year,11460,14754,26214,27220,38680,5221,Women,2997,20627,2008,On Campus,11125,"0 to 30,000",19,64100,103800,57,31
Claremont McKenna College,California,CA,Private,4 Year,16705,54405,71110,54405,71110,1324,Women,630,50990,2008,On Campus,5587,"0 to 30,000",5,86700,167000,53,22
Clark Atlanta University,Georgia,GA,Private,4 Year,9524,23436,32960,23436,32960,3485,Women,2573,29382,2008,On Campus,21773,"0 to 30,000",22,56600,93300,55,17
Clark University,Massachusetts,MA,Private,4 Year,9170,45730,54900,45730,54900,3423,Women,1946,42620,2008,On Campus,15411,"0 to 30,000",16,64900,132600,53,27
Clarke University,Iowa,IA,Private,4 Year,9600,33350,42950,33350,42950,1200,Women,836,31960,2008,On Campus,13335,"0 to 30,000",18,57100,93100,53,9
Clarkson College,Nebraska,NE,Private,4 Year,5398,16920,22318,16920,22318,1221,Women,1072,22940,2008,On Campus,16119,"0 to 30,000",12,64500,93300,86,0
Clarkson University,New York,NY,Private,4 Year,14908,49444,64352,49444,64352,3873,Women,1184,44800,2008,On Campus,33310,"0 to 30,000",7,79900,157700,58,54
Cleary University,Michigan,MI,Private,4 Year,9600,20250,29850,20250,29850,537,Women,290,32022,2015,On Campus,9551,"0 to 30,000",17,57700,102700,56,0
Clemson University,South Carolina,SC,Public,4 Year,10832,14970,25802,36724,47556,21857,Women,10160,22115,2008,On Campus,14795,"0 to 30,000",3,70500,125200,49,35
Coastal Carolina University,South Carolina,SC,Public,4 Year,9190,11536,20726,26648,35838,9976,Women,5495,21008,2008,On Campus,10961,"0 to 30,000",16,55100,89800,49,14
Coe College,Iowa,IA,Private,4 Year,9480,45000,54480,45000,54480,1436,Women,805,37610,2008,On Campus,14394,"0 to 30,000",9,57600,103600,45,22
Colby College,Maine,ME,Private,4 Year,14190,55210,69400,55210,69400,1847,Women,978,50120,2008,On Campus,11784,"0 to 30,000",4,73900,128500,54,31
Colby-Sawyer College,New Hampshire,NH,Private,4 Year,14264,42398,56662,42398,56662,1369,Women,949,41710,2008,On Campus,15169,"0 to 30,000",6,58400,100800,47,4
Colgate University,New York,NY,Private,4 Year,13995,55870,69865,55870,69865,2888,Women,1570,51090,2008,On Campus,10295,"0 to 30,000",1,84100,173800,42,26
College for Creative Studies,Michigan,MI,Private,4 Year,8800,44110,52910,44110,52910,1459,Women,720,40550,2008,On Campus,24863,"0 to 30,000",15,63500,106300,35,0
College of Charleston,South Carolina,SC,Public,4 Year,12166,12738,24904,31920,44086,11456,Women,7329,21293,2008,On Campus,11586,"0 to 30,000",7,60400,102700,44,17
College of Saint Mary,Nebraska,NE,Private,4 Year,7700,20350,28050,20350,28050,1018,Women,995,32660,2008,On Campus,19042,"0 to 30,000",13,57200,92900,42,2
College of the Holy Cross,Massachusetts,MA,Private,4 Year,14520,52770,67290,52770,67290,2787,Women,1366,49102,2008,On Campus,8704,"0 to 30,000",13,73100,138100,50,20
Colorado Christian University,Colorado,CO,Private,4 Year,11846,31866,43712,31866,43712,5787,Women,3688,31942,2008,On Campus,20515,"0 to 30,000",17,59000,86700,73,3
Colorado College,Colorado,CO,Private,4 Year,12512,55470,67982,55470,67982,2067,Women,1110,48000,2008,On Campus,4426,"0 to 30,000",5,65700,121800,48,29
Colorado Mesa University,Colorado,CO,Public,4 Year,10925,9243,20168,22440,33365,9116,Women,4924,16983,2008,On Campus,14504,"0 to 30,000",16,59000,92100,61,8
Colorado School of Mines,Colorado,CO,Public,4 Year,13169,18964,32133,38584,51753,5962,Women,1688,21674,2008,On Campus,16224,"0 to 30,000",2,87800,165700,56,91
Columbus State University,Georgia,GA,Public,4 Year,9880,7200,17080,20682,30562,8192,Women,4896,15650,2008,On Campus,6078,"0 to 30,000",19,52100,93800,56,11
Concord University,West Virginia,WV,Public,4 Year,8988,7896,16884,17320,26308,NA,NA,NA,14844,2008,On Campus,6626,"0 to 30,000",6,55600,96100,51,11
Connecticut College,Connecticut,CT,Private,4 Year,15150,54820,69970,54820,69970,1900,Women,1174,51685,2008,On Campus,4408,"0 to 30,000",7,72100,125200,54,30
Cooper Union for the Advancement of Science and Art,New York,NY,Private,4 Year,16638,46700,63338,46700,63338,NA,NA,NA,51755,2008,On Campus,41585,"0 to 30,000",8,84300,156500,38,58
Corban University,Oregon,OR,Private,4 Year,10228,33040,43268,33040,43268,1125,Women,674,34490,2008,On Campus,19592,"0 to 30,000",16,53700,100600,63,4
Cornell College,Iowa,IA,Private,4 Year,9384,42299,51683,42299,51683,1086,Women,577,37260,2008,On Campus,11235,"0 to 30,000",6,63100,114000,47,24
Cornell University,New York,NY,Private,4 Year,14816,55188,70004,55188,70004,21679,Women,10507,50384,2008,On Campus,10366,"0 to 30,000",10,86100,155400,44,46
Cornish College of the Arts,Washington,WA,Private,4 Year,12400,41642,54042,41642,54042,767,Women,491,41450,2009,On Campus,33193,"0 to 30,000",14,63300,110900,41,0
Covenant College,Georgia,GA,Private,4 Year,10260,34330,44590,34330,44590,1173,Women,689,33520,2008,On Campus,15358,"0 to 30,000",20,56100,93700,65,20
Creighton University,Nebraska,NE,Private,4 Year,11036,39916,50952,39916,50952,8236,Women,4715,39458,2008,On Campus,18799,"0 to 30,000",2,66400,112500,55,9
Culver-Stockton College,Missouri,MO,Private,4 Year,8520,26680,35200,26680,35200,971,Women,462,32850,2008,On Campus,14336,"0 to 30,000",13,52700,101300,53,5
Cumberland University,Tennessee,TN,Private,4 Year,9290,22890,32180,22890,32180,1481,Women,850,27360,2008,On Campus,11003,"0 to 30,000",9,55900,97900,54,6
Dakota State University,South Dakota,SD,Public,4 Year,6873,9276,16149,12249,19122,3047,Women,1364,15214,2008,On Campus,10280,"0 to 30,000",5,62200,103800,46,74
Dakota Wesleyan University,South Dakota,SD,Private,4 Year,7350,27300,34650,27300,34650,870,Women,494,27920,2008,On Campus,13749,"0 to 30,000",7,55000,92600,NA,5
Dartmouth College,New Hampshire,NH,Private,4 Year,15756,55453,71209,55453,71209,6298,Women,2967,50547,2008,On Campus,4007,"0 to 30,000",1,89000,173300,44,35
Davidson College,North Carolina,NC,Private,4 Year,14372,51447,65819,51447,65819,1770,Women,895,45725,2008,On Campus,5423,"0 to 30,000",3,70500,140300,55,28
Delaware State University,Delaware,DE,Public,4 Year,12190,7868,20058,16904,29094,4397,Women,2760,20141,2008,On Campus,8444,"0 to 30,000",3,55900,95000,60,14
Delta State University,Mississippi,MS,Public,4 Year,7722,7246,14968,7246,14968,3614,Women,2244,11068,2008,On Campus,8741,"0 to 30,000",8,49300,82800,62,5
Denison University,Ohio,OH,Private,4 Year,12710,51960,64670,51960,64670,2278,Women,1313,45980,2008,On Campus,17655,"0 to 30,000",2,65300,140800,46,20
DePaul University,Illinois,IL,Private,4 Year,14235,39975,54210,39975,54210,23799,Women,12650,39130,2008,On Campus,29478,"0 to 30,000",6,68100,126700,44,16
DePauw University,Indiana,IN,Private,4 Year,13020,49704,62724,49704,62724,2215,Women,1201,42175,2008,On Campus,9746,"0 to 30,000",7,70300,120200,47,23
Dickinson State University,North Dakota,ND,Public,4 Year,6898,6765,13663,9544,16442,1479,Women,888,13562,2008,On Campus,9217,"0 to 30,000",5,59200,96800,59,8
Dillard University,Louisiana,LA,Private,4 Year,10100,18099,28199,18099,28199,1200,Women,871,27091,2008,On Campus,11906,"0 to 30,000",19,53900,88700,79,23
Dixie State University,Utah,UT,Public,4 Year,6328,5253,11581,15051,21379,NA,NA,NA,13169,2008,On Campus,10721,"0 to 30,000",9,57100,91700,55,6
Doane University,Nebraska,NE,Private,4 Year,9400,33800,43200,33800,43200,NA,NA,NA,NA,NA,NA,NA,NA,5,53900,101200,49,8
Drake University,Iowa,IA,Private,4 Year,10528,41396,51924,41396,51924,5062,Women,2974,36852,2008,On Campus,15567,"0 to 30,000",1,64200,122300,51,7
Drew University,New Jersey,NJ,Private,4 Year,14108,39500,53608,39500,53608,2113,Women,1247,52106,2008,On Campus,18481,"0 to 30,000",11,65600,117200,38,18
Drexel University,Pennsylvania,PA,Private,4 Year,14079,53279,67358,53279,67358,26359,Women,13833,48125,2008,On Campus,33888,"0 to 30,000",12,76100,132600,48,27
Drury University,Missouri,MO,Private,4 Year,8096,28365,36461,28365,36461,4215,Women,2548,30027,2008,On Campus,23572,"0 to 30,000",21,53300,93200,56,24
Duke University,North Carolina,NC,Private,4 Year,15178,55695,70873,55695,70873,15856,Women,7891,50925,2008,On Campus,9220,"0 to 30,000",1,87400,158700,50,28
Earlham College,Indiana,IN,Private,4 Year,10400,46450,56850,46450,56850,NA,NA,NA,42694,2008,On Campus,11384,"0 to 30,000",22,62600,96600,53,26
East Carolina University,North Carolina,NC,Public,4 Year,9606,7188,16794,23465,33071,27511,Women,16451,15636,2008,On Campus,3060,"0 to 30,000",11,60000,100500,56,12
East Central University,Oklahoma,OK,Public,4 Year,5514,6810,12324,17700,23214,NA,NA,NA,14849,2008,On Campus,8442,"0 to 30,000",19,53300,87600,71,13
East Tennessee State University,Tennessee,TN,Public,4 Year,8472,9277,17749,28459,36931,14434,Women,8369,18156,2008,On Campus,8154,"0 to 30,000",20,52700,88400,57,8
Eastern Connecticut State University,Connecticut,CT,Public,4 Year,13560,11356,24916,22596,36156,5287,Women,2798,21683,2008,On Campus,11521,"0 to 30,000",15,61900,100600,42,11
Eastern Kentucky University,Kentucky,KY,Public,4 Year,9018,9296,18314,19074,28092,16305,Women,9373,15700,2008,On Campus,4716,"0 to 30,000",13,55400,92400,58,6
Eastern Michigan University,Michigan,MI,Public,4 Year,9854,13959,23813,13959,23813,22401,Women,13362,17989,2008,On Campus,10474,"0 to 30,000",19,58500,100000,49,9
Eastern Oregon University,Oregon,OR,Public,4 Year,10040,8679,18719,20739,30779,3653,Women,2341,18614,2008,On Campus,11829,"0 to 30,000",21,55400,82800,51,5
Eastern Washington University,Washington,WA,Public,4 Year,12793,7323,20116,24444,37237,13453,Women,7482,16952,2008,On Campus,11543,"0 to 30,000",18,62600,102100,51,16
Eckerd College,Florida,FL,Private,4 Year,12588,44540,57128,44540,57128,2083,Women,1293,43494,2008,On Campus,22756,"0 to 30,000",13,62500,108400,49,38
Edgewood College,Wisconsin,WI,Private,4 Year,11020,29500,40520,29500,40520,2980,Women,2147,30403,2008,On Campus,13734,"0 to 30,000",18,59200,100700,55,10
Elon University,North Carolina,NC,Private,4 Year,12230,35319,47549,35319,47549,6483,Women,3856,35346,2008,On Campus,15181,"0 to 30,000",8,66400,110100,44,7
Emory University,Georgia,GA,Private,4 Year,14456,51306,65762,51306,65762,14769,Women,8349,49708,2008,On Campus,13091,"0 to 30,000",2,78100,138600,48,23
