name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,total_enrollment,category,enrollment,total_price,year,campus,net_cost,income_lvl,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
University of New England,Maine,ME,Private,4 Year,13990,37620,51610,37620,51610,6429,Women,4591,40955,2008,On Campus,21417,"0 to 30,000",6,59500,106200,65,7
University of New Hampshire at Manchester,New Hampshire,NH,Public,4 Year,NA,15265,15265,30635,30635,850,Women,445,30136,2018,On Campus,12345.17524,"0 to 30,000",5,64600,105600,38,38
University of New Haven,Connecticut,CT,Private,4 Year,15900,39270,55170,39270,55170,6811,Women,3337,41796,2008,On Campus,19896,"0 to 30,000",11,63100,112900,53,25
University of New Orleans,Louisiana,LA,Public,4 Year,10575,9054,19629,13890,24465,9234,Women,4749,14453,2008,On Campus,4988,"0 to 30,000",7,59700,107400,54,28
University of North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880,6841,Women,3969,12713,2008,On Campus,6588,"0 to 30,000",20,51400,86800,55,6
University of North Carolina at Chapel Hill,North Carolina,NC,Public,4 Year,11190,8987,20177,35170,46360,29135,Women,16481,16193,2008,On Campus,2366,"0 to 30,000",5,68800,118200,47,23
University of North Carolina at Charlotte,North Carolina,NC,Public,4 Year,11100,7044,18144,20478,31578,27238,Women,13477,15095,2008,On Campus,4109,"0 to 30,000",6,64700,111700,50,28
University of North Carolina at Greensboro,North Carolina,NC,Public,4 Year,9038,7319,16357,22478,31516,18647,Women,12343,14593,2008,On Campus,1470,"0 to 30,000",25,53900,89100,51,12
University of North Carolina School of the Arts,North Carolina,NC,Public,4 Year,9021,9358,18379,25501,34522,958,Women,462,16158,2008,On Campus,3331,"0 to 30,000",16,58100,97500,48,0
University of North Dakota,North Dakota,ND,Public,4 Year,8974,8695,17669,20759,29733,14906,Women,7062,16433,2008,On Campus,9346,"0 to 30,000",2,65800,114700,48,17
University of North Florida,Florida,FL,Public,4 Year,9976,6394,16370,20112,30088,15984,Women,8977,16116,2008,On Campus,3875,"0 to 30,000",21,59400,103300,49,13
University of North Georgia,Georgia,GA,Public,4 Year,7876,7336,15212,21148,29024,16064,Women,8923,17405,2013,On Campus,8291,"0 to 30,000",7,57700,108500,50,11
University of Northern Colorado,Colorado,CO,Public,4 Year,11204,9786,20990,21474,32678,12050,Women,7908,17941,2008,On Campus,13232,"0 to 30,000",12,58500,100700,57,8
University of Northern Iowa,Iowa,IA,Public,4 Year,8948,8938,17886,19480,28428,11928,Women,6945,17386,2008,On Campus,9709,"0 to 30,000",15,57500,99100,51,9
University of Notre Dame,Indiana,IN,Private,4 Year,15410,53391,68801,53391,68801,12179,Women,5547,49030,2008,On Campus,7267,"0 to 30,000",2,83600,160200,43,30
University of Oregon,Oregon,OR,Public,4 Year,12963,11898,24861,35478,48441,24096,Women,12597,18108,2008,On Campus,7118,"0 to 30,000",6,63500,119500,46,13
University of Pennsylvania,Pennsylvania,PA,Private,4 Year,15616,55584,71200,55584,71200,24806,Women,13067,51299,2008,On Campus,6704,"0 to 30,000",1,89100,171800,37,25
University of Pikeville,Kentucky,KY,Private,4 Year,7800,20950,28750,20950,28750,2458,Women,1263,26750,2008,On Campus,13306,"0 to 30,000",19,48300,83900,NA,9
University of Portland,Oregon,OR,Private,4 Year,13450,45904,59354,45904,59354,4143,Women,2448,42006,2008,On Campus,30868,"0 to 30,000",2,73100,128400,48,30
University of Puget Sound,Washington,WA,Private,4 Year,12540,49776,62316,49776,62316,2826,Women,1667,46035,2008,On Campus,21229,"0 to 30,000",4,67500,134000,45,18
University of Rhode Island,Rhode Island,RI,Public,4 Year,12950,14138,27088,30862,43812,16571,Women,9077,20768,2008,On Campus,9934,"0 to 30,000",5,67000,120800,52,20
